S 34e960,4 miss eviction 
L 30c7d4,4 hit 
S 34ea6c,4 hit 
L 30c8bc,4 hit 
S 34e74c,4 hit 
L 30c8c0,4 miss eviction 
S 34e858,4 hit 
L 30c8c4,4 hit 
S 34e964,4 hit 
L 30c8c8,4 hit 
S 34ea70,4 hit 
L 30c5f0,4 hit 
S 34eb70,4 miss eviction 
L 30c5f4,4 hit 
S 34ec7c,4 miss eviction 
L 30c5f8,4 hit 
S 34ed88,4 miss eviction 
L 30c5fc,4 hit 
S 34ee94,4 miss eviction 
L 30c6e4,4 hit 
S 34eb74,4 hit 
L 30c6e8,4 hit 
S 34ec80,4 miss eviction 
L 30c6ec,4 hit 
S 34ed8c,4 hit 
L 30c6f0,4 hit 
S 34ee98,4 hit 
L 30c7d8,4 hit 
S 34eb78,4 hit 
L 30c7dc,4 hit 
S 34ec84,4 hit 
L 30c7e0,4 miss eviction 
S 34ed90,4 hit 
L 30c7e4,4 hit 
S 34ee9c,4 hit 
L 30c8cc,4 hit 
S 34eb7c,4 hit 
L 30c8d0,4 hit 
S 34ec88,4 hit 
L 30c8d4,4 hit 
S 34ed94,4 hit 
L 30c8d8,4 hit 
S 34eea0,4 miss eviction 
L 30c600,4 miss eviction 
S 34efa0,4 miss eviction 
L 30c604,4 hit 
S 34f0ac,4 miss eviction 
L 30c608,4 hit 
S 34f1b8,4 miss eviction 
L 30c60c,4 hit 
S 34f2c4,4 miss eviction 
L 30c6f4,4 hit 
S 34efa4,4 hit 
L 30c6f8,4 hit 
S 34f0b0,4 hit 
L 30c6fc,4 hit 
S 34f1bc,4 hit 
L 30c700,4 miss eviction 
S 34f2c8,4 hit 
L 30c7e8,4 hit 
S 34efa8,4 hit 
L 30c7ec,4 hit 
S 34f0b4,4 hit 
L 30c7f0,4 hit 
S 34f1c0,4 miss eviction 
L 30c7f4,4 hit 
S 34f2cc,4 hit 
L 30c8dc,4 hit 
S 34efac,4 hit 
L 30c8e0,4 miss eviction 
S 34f0b8,4 hit 
L 30c8e4,4 hit 
S 34f1c4,4 hit 
L 30c8e8,4 hit 
S 34f2d0,4 hit 
L 30c610,4 hit 
S 34f3d0,4 miss eviction 
L 30c614,4 hit 
S 34f4dc,4 miss eviction 
L 30c618,4 hit 
S 34f5e8,4 miss eviction 
L 30c61c,4 hit 
S 34f6f4,4 miss eviction 
L 30c704,4 hit 
S 34f3d4,4 hit 
L 30c708,4 hit 
S 34f4e0,4 miss eviction 
L 30c70c,4 hit 
S 34f5ec,4 hit 
L 30c710,4 hit 
S 34f6f8,4 hit 
L 30c7f8,4 hit 
S 34f3d8,4 hit 
L 30c7fc,4 hit 
S 34f4e4,4 hit 
L 30c800,4 miss eviction 
S 34f5f0,4 hit 
L 30c804,4 hit 
